Cost Center Code,Cost Center Name,Department,Revenue,Expenditure,Full Time Employees
1010,General Fund: General Purpose,Capital Improvement Projects,,252000,
2116,Department of Transportation,Capital Improvement Projects,3124000,3124000,
2163,Metro Transportation Com: Program Grant,Capital Improvement Projects,3492000,3492000,
2211,Measure B:ACTIA,Capital Improvement Projects,,3500000,
2212,Measure B: Bicycle/Pedestrian Pass-Thru Funds,Capital Improvement Projects,,1000000,
2231,State Gas Tax-Prop 42 Replacement Funds,Capital Improvement Projects,,2330000,
2999,False Alarm Reduction Program,Capital Improvement Projects,"180,000","180,000",
3100,Sewer Service Fund,Capital Improvement Projects,,"14,615,000",
5510,Capital Reserves,Capital Improvement Projects ,,1000000,
1010,General Fund: General Purpose,City Administrator,940450,12255415,37.67
1760,Telecommunications Reserve,City Administrator,1374724,1210568,7.73
2112,Department of Justice,City Administrator,,432098,2.75
2211,Measure B:ACTIA,City Administrator,,93907,0.7
7640,Oakland Public Museum Trust,City Administrator,32610,32610,
7760,Grant Clearing,City Administrator,,12381,0.08
7780,Oakland Redevelopment Agency Projects (ORA),City Administrator,,1570649,11.84
2241,Measure Q Library Service,City Administrator ,,277,
2250,Measure N: Fund,City Administrator ,,89,
2251,Measure Y: Public Safety Act 2004,City Administrator ,,"487,757",
2415,Development Services Fund,City Administrator ,,"42,356",0.33
2417,Excess Litter Fee Fund,City Administrator ,,"440,900",
2609,Dept of Energy EECBG Program (ARRA),City Administrator ,,,1
5505,Municipal Capital Improvement: Public Arts ,City Administrator ,,,232
1010,General Fund: General Purpose,City Attorney,87030,4070869,20.45
1100,Self Insurance Liability,City Attorney,,3366874,19.03
1150,Worker's Compensation Insurance Claims,City Attorney,,249450,1.04
1710,Recycling Program,City Attorney,,169992,1
2108,HUD-CDBG,City Attorney,,45490,0.19
2190,Private Grants,City Attorney,10280,,
2415,Development Services Fund,City Attorney,,"320,617",1.5
3100,Sewer Service Fund,City Attorney,,"95,387",0.54
7100,Police and Fire Retirement System,City Attorney,,95810,0.4
7780,Oakland Redevelopment Agency Projects (ORA),City Attorney,,2867645,14.85
7120,Oakland Municipal Employees' Retirement System OMERS,City Attorney ,,23953,0.1
1010,General Fund: General Purpose,City Auditor,,885773,10
1010,General Fund: General Purpose,City Clerk,34260,1394452,6.5
7780,Oakland Redevelopment Agency Projects (ORA),City Clerk,,439603,3.5
1010,General Fund: General Purpose,City Council,,1998443,16.7
7780,Oakland Redevelopment Agency Projects (ORA),City Council,,1580653,9.76
1010,General Fund: General Purpose,Community and Economic Development Agency,29452170,472759,1.28
1710,Recycling Program,Community and Economic Development Agency,,195271,1
1750,Multipurpose Reserve,Community and Economic Development Agency,,326300,
1770,Telecommunications Land Use,Community and Economic Development Agency,509879,509879,1.72
2105,HUD-EDI Grants,Community and Economic Development Agency,,-612,1.8
2107,HUD-108,Community and Economic Development Agency,2032000,2032000,
2108,HUD-CDBG,Community and Economic Development Agency,9779837,8673641,20.77
2109,HUD-Home,Community and Economic Development Agency,4753166,4702944,1.97
2185,Oakland Redevelopment Agency Grants,Community and Economic Development Agency,2500000,2500000,
2195,Workforce Investment Act,Community and Economic Development Agency,6494000,6038231,6.38
2415,Development Services Fund,Community and Economic Development Agency,,"20,857,324",115.8
2419,Transient Occupancy Tax (TOT) Surcharge,Community and Economic Development Agency,"323,593","325,593",
3200,Golf Course,Community and Economic Development Agency,,"8,450",
4400,City Facilities,Community and Economic Development Agency,"2,400",,
5505,Municipal Capital Improvement: Public Arts ,Community and Economic Development Agency,256018,255786,1.25
7760,Grant Clearing,Community and Economic Development Agency,,-3487,14
7780,Oakland Redevelopment Agency Projects (ORA),Community and Economic Development Agency,,13735862,83.03
4450, City Facilities Energy Conservation Projects ,Community and Economic Development Agency ,,,0.5
5321,"Measure DD: 2009B Clean Water,Safe Parks & Open Space Trust Fund for Oakland",Community and Economic Development Agency ,,,0.5
1010,General Fund: General Purpose,Department of Human Services,125830,4527780,24.41
1780,Kid's First Oakland Children's Fund,Department of Human Services,10928847,10733666,5.9
2102,Department of Agriculture,Department of Human Services,1095000,1079320,6.5
2103,HUD-ESG/SHP/HOPWA,Department of Human Services,6061580,6054132,0.81
2108,HUD-CDBG,Department of Human Services,,570362,1.14
2114,Department of Labor,Department of Human Services,1294896,1183365,63.1
2120,Federal Action Agency,Department of Human Services,329801,323448,0.78
2128,Department of Health and Human Services,Department of Human Services,17753149,16843633,145.2
2138,California Department of Education,Department of Human Services,1174283,1174283,
2140,California Deparment of Education,Department of Human Services,100000,100000,
2159,State of California Other,Department of Human Services,250000,229562,1.62
2160,County of Alameda: Grants,Department of Human Services,417019,413833,1.09
2195,Workforce Investment Act,Department of Human Services,,135867,1.28
2213,Measure B: Paratransit - ACTIA,Department of Human Services,966080,931429,4.41
2251,Measure Y: Public Safety Act 2004,Department of Human Services,,"6,234,329",
7780,Oakland Redevelopment Agency Projects (ORA),Department of Human Services,,534734,3.57
2994,Social Services Grants,Dept. of Human Services,"56,000","56,000",
5130,Rockridge: Library Assessment District,District Finance and Management Agency,134420,3387,
1010,General Fund: General Purpose,Finance and Management Agency,365112153,19503491,158.03
1150,Worker's Compensation Insurance Claims,Finance and Management Agency,,1323368,7
1200,Pension Override Tax Revenue,Finance and Management Agency,200000,,
1700,Mandatory Refuse Program,Finance and Management Agency,2354328,2033692,15.66
